"id","source","country_or_region","year","round","task_name","domain","ceoai_tags","ioai_tags","local_path","source_url","download_status","license","priority","notes"
"romania_onia_examples","Romania ONIA GitHub","Romania","2025","county/example","ONIA example problems","tabular ML","CEOAI 2(a); CEOAI 2(b); CEOAI 2(d)","ML","raw/romania-onia-examples","https://github.com/Olimpiada-AI/Propunere-probleme-si-solutii","downloaded_full","unknown","very_high","Tabular train/eval style; likely closest to CEOAI practical basics."
"romania_roai_solved","Romania ROAI solved GitHub","Romania","2025-2026","mixed","ROAI solved repository","mixed","CEOAI 1; CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV; RL","raw/romania-roai-solved","https://github.com/stefanasandei/roai-solved","downloaded_full","unknown","high","Large solved-task repository; use selectively."
"ceoai_2026_practice1_stochastic_rift","Nitro Judge","International","2026","CEOAI practice round 1","The Stochastic Rift","RL; MDP; value estimation","CEOAI 1(d); CEOAI 1(e); CEOAI 1(f)","RL","raw/ceoai-2026-practice-rounds/round-1/stochastic_rift/prompt.md","https://judge.nitro-ai.org/competitions/ceoai/ceoai-2026-practice-1/1/view","statement_mirrored_with_fixture_data","unknown","very_high","Official CEOAI practice task; offline stochastic MDP value estimation from transition logs. Local folder also contains fixture data and a minimum-solution notebook."
"ceoai_2026_practice1_project_kraken","Nitro Judge","International","2026","CEOAI practice round 1","Project KRAKEN","multimodal; DL; CV; ML","CEOAI 3(c); CEOAI 5(a); CEOAI 2(a)","ML; DL; CV","raw/ceoai-2026-practice-rounds/round-1/project_kraken/prompt.md","https://judge.nitro-ai.org/competitions/ceoai/ceoai-2026-practice-1/2/view","statement_mirrored_with_fixture_data","unknown","very_high","Official CEOAI practice task; multimodal slices/echoes/glyphs with regression and classification subtasks. Local folder also contains fixture data and a minimum-solution notebook."
"ceoai_2026_practice1_star_observatory","Nitro Judge","International","2026","CEOAI practice round 1","Star Observatory","CV; regression","CEOAI 5(a); CEOAI 2(a); CEOAI 3(c)","CV; ML","raw/ceoai-2026-practice-rounds/round-1/star_observatory/prompt.md","https://judge.nitro-ai.org/competitions/ceoai/ceoai-2026-practice-1/3/view","statement_mirrored_with_fixture_data","unknown","very_high","Official CEOAI practice task; star-center and flux prediction. Local folder also contains fixture data and a minimum-solution notebook."
"ceoai_2026_practice2_panda_mnist","Nitro Judge","International","2026","CEOAI/EUROAI practice round 2","Panda MNIST","CV; domain shift; DL","CEOAI 5(a); CEOAI 3(b); CEOAI 3(c)","CV; DL","raw/ceoai-2026-practice-rounds/round-2/panda_mnist/prompt.md","https://judge.nitro-ai.org/competitions/ceoai/ceoai-2026-practice-2/1/view","statement_mirrored_with_fixture_data","unknown","very_high","Official CEOAI/EUROAI practice task; scanner/domain-shift digit classification with TorchScript submission. Local folder also contains fixture data and a minimum-solution notebook."
"ceoai_2026_practice2_trace_twins","Nitro Judge","International","2026","CEOAI/EUROAI practice round 2","Trace Twins","NLP; sequence similarity","CEOAI 4(a); CEOAI 4(b); CEOAI 2(d)","NLP; sequence","raw/ceoai-2026-practice-rounds/round-2/trace_twins/prompt.md","https://judge.nitro-ai.org/competitions/ceoai/ceoai-2026-practice-2/2/view","statement_mirrored_with_fixture_data","unknown","very_high","Official CEOAI/EUROAI practice task; malware transcript pair scoring with ROC-AUC and scrambled-token robustness. Local folder also contains fixture data and a minimum-solution notebook."
"roai_2026_polyglot","Nitro Judge","Romania","2026","selection camp CPU practical","Polyglot","NLP; embeddings; alignment","CEOAI 4(b); CEOAI 4(c); CEOAI 2(b)","NLP; embeddings","raw/roai-2026-selection-camp-cpu-practical/polyglot.md","https://judge.nitro-ai.org/competitions/roai-2025/lot-2-2026/1/view","statement_mirrored","unknown","very_high","Romanian IAIO/CEOAI selection camp task; embedding-space permutation recovery with CSV output."
"roai_2026_too_easy_fairy","Nitro Judge","Romania","2026","selection camp CPU practical","Too Easy Fairy","CV; segmentation; foundation features","CEOAI 5(a); CEOAI 5(c); CEOAI 3(c)","CV; segmentation","raw/roai-2026-selection-camp-cpu-practical/too_easy_fairy.md","https://judge.nitro-ai.org/competitions/roai-2025/lot-2-2026/2/view","statement_mirrored","unknown","very_high","Romanian IAIO/CEOAI selection camp task; one-shot segmentation from DINOv2 patch features."
"roai_2026_smart_warehouse","Nitro Judge","Romania","2026","selection camp CPU practical","Smart Warehouse","RL; temporal-difference learning","CEOAI 1(d); CEOAI 1(e); CEOAI 1(f)","RL","raw/roai-2026-selection-camp-cpu-practical/smart_warehouse.md","https://judge.nitro-ai.org/competitions/roai-2025/lot-2-2026/3/view","statement_mirrored","unknown","very_high","Romanian IAIO/CEOAI selection camp task; TD update tests plus hidden-scenario Q-learning/SARSA policy evaluation."
"romania_markov_maze","Romania ROAI solved GitHub","Romania","2026","preONIA","Markov Maze","RL; MDP","CEOAI 1(d); CEOAI 1(e); CEOAI 1(f)","RL","raw/romania-roai-solved/contests/algolymp/preonia-11-12-2026/markov-maze.ipynb","https://github.com/stefanasandei/roai-solved","downloaded_full","unknown","very_high","Rare direct RL/MDP sample for CEOAI Section 1."
"romania_reality_filter","Romania ROAI solved GitHub","Romania","2025","preONIA","Reality Filter","ML/CV","CEOAI 2(a); CEOAI 5(a)","ML; CV","raw/romania-roai-solved/contests/bcs-preonia-2025/reality-filter","https://github.com/stefanasandei/roai-solved","downloaded_full","unknown","medium","Useful if more image/text filtering practice is needed."
"romania_quadrilingual_land","Romania ROAI solved GitHub","Romania","2025","preONIA","Quadrilingual Land","NLP","CEOAI 4(a); CEOAI 4(b)","NLP","raw/romania-roai-solved/contests/bcs-preonia-2025/quadrilingual-land","https://github.com/stefanasandei/roai-solved","downloaded_full","unknown","medium","Text/language task."
"romania_mlcompete_text_emotion","Romania ROAI solved GitHub","Romania","2025","mlcompete","Text Emotion Classification","NLP","CEOAI 4(a); CEOAI 4(b)","NLP","raw/romania-roai-solved/contests/mlcompete/text_emotion_cls","https://github.com/stefanasandei/roai-solved","downloaded_full","unknown","medium","Simple NLP classifier drill."
"romania_mlcompete_ai_art","Romania ROAI solved GitHub","Romania","2025","mlcompete","AI Art Classification","CV","CEOAI 5(a); CEOAI 5(b)","CV","raw/romania-roai-solved/contests/mlcompete/cls_ai_art","https://github.com/stefanasandei/roai-solved","downloaded_full","unknown","medium","Generated/AI art classifier."
"usa_2025_round1","IOAI official overview","United States / North America","2025","Round 1","USA-North America AIO Round 1","ML; data analysis","CEOAI 2(a); CEOAI 3(a)","ML","indexed_only","https://ioai-official.org/the-usa-north-america-ai-olympiad-is-organized-by-the-usa-ai-olympiad-usaaio/","indexed_only","unknown","medium","Overview says spectral decomposition, NN fundamentals, Titanic tasks; no public asset found."
"usa_2025_round2","IOAI official overview","United States / North America","2025","Round 2","USA-North America AIO Round 2","advanced ML; fine-tuning","CEOAI 2; CEOAI 3","ML; DL","indexed_only","https://ioai-official.org/the-usa-north-america-ai-olympiad-is-organized-by-the-usa-ai-olympiad-usaaio/","indexed_only","unknown","medium","Overview only; advanced ML and fine-tuning."
"hungary_haio_repo","Hungarian AI Olympiad GitHub","Hungary","2024-2026","mixed","HAIO repository","mixed","CEOAI 1; CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV; RL","raw/hungary-haio-sparse","https://github.com/Hungarian-AI-Olympiad/HAIO-Hungarian-AI-Olympiad","downloaded_sparse","unknown","high","European national source; includes tasks and solutions by year."
"hungary_2024_summer","Hungarian AI Olympiad GitHub","Hungary","2024","summer national","HAIO 2024 summer tasks","CV; NLP; theory","CEOAI 2; CEOAI 4; CEOAI 5","CV; NLP","raw/hungary-haio-sparse/2024","https://github.com/Hungarian-AI-Olympiad/HAIO-Hungarian-AI-Olympiad/tree/main/2024","downloaded_sparse","unknown","medium","Useful European task style."
"hungary_2025_summer","Hungarian AI Olympiad GitHub","Hungary","2025","summer","HAIO 2025 summer tasks","ML; CV; NLP; theory","CEOAI 2; CEOAI 4; CEOAI 5","ML; CV; NLP","raw/hungary-haio-sparse/2025","https://github.com/Hungarian-AI-Olympiad/HAIO-Hungarian-AI-Olympiad/tree/main/2025","downloaded_sparse","unknown","medium","Useful European task style."
"hungary_2026_tasks","Hungarian AI Olympiad GitHub","Hungary","2026","program","HAIO 2026 tasks","mixed","CEOAI 1; CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","mixed","raw/hungary-haio-sparse/2026","https://github.com/Hungarian-AI-Olympiad/HAIO-Hungarian-AI-Olympiad/tree/main/2026","downloaded_sparse","unknown","medium","More current but use only public task files."
