id,c,mask
"3269","74, 284, 247, 39738, 41453, 253, 5730, 891, 35809, 812, 1333, 253, 273, 6255, 1072, 273, 3520, 9749, 9749, 323, 534, 625, 13, 846, 512, 685, 13, 10488, 310, 5044, 1107, 281, 1966, 13, 6242, 891, 15, 717, 253, 15556, 441, 13, 440, 19751, 1598, 13, 1245, 556, 407, 253, 954, 4884, 552, 285, 5675, 29460, 1345, 12046, 11891, 4404, 326, 326, 9749, 275, 24532, 253, 1533, 15, 352, 13, 3249, 562, 275, 9454, 512, 13, 5133, 273, 810, 8122, 285, 275, 18256, 1351, 2208, 285, 3646, 253, 27842, 8984, 4400, 2208, 434, 7880, 1408, 275, 19963, 281, 5870, 1056, 8334, 285, 17087, 3553, 285, 17396, 403, 313, 13, 284, 275, 387, 1878, 512, 643, 13730, 9787, 1025, 21262, 582, 13, 253, 3473, 323, 1048, 1307, 20841, 273, 2675, 3988, 12564, 35605, 5373, 3413, 281, 15, 15080, 45120, 5717, 2278, 285, 17396, 1971, 2920, 313, 253, 1897, 672, 4609, 352, 954, 369, 452, 642, 1039, 28071, 12207, 273, 10054, 281, 323, 13, 347, 11576, 452, 13387, 6331, 18738, 4912, 609, 285, 1305, 560, 1129, 1644, 24467, 582, 347, 973, 2266, 3473, 323, 327, 11576, 281, 1146, 11165, 731, 22658, 973, 2217, 281, 390, 417, 2509, 789, 285, 1024, 247, 2217, 10419, 281, 281, 1818, 26281, 323, 2675, 3988, 15072, 281, 1361, 1056, 253, 13988, 3746, 5276, 597, 403, 403, 1048, 4783, 1512, 15, 8334, 281, 789, 15","1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1"
"3270","284, 1484, 76, 312, 15, 7080, 556, 84, 644, 247, 15, 27445, 13, 465, 2234, 4318, 312, 7080, 5611, 390, 275, 253, 3819, 820, 24834, 281, 2186, 253, 10843, 281, 29154, 2085, 28110, 5286, 28461, 2891, 12176, 323, 13, 253, 7004, 253, 4766, 10458, 966, 3533, 13, 2953, 327, 253, 1029, 2105, 273, 11136, 8845, 13, 7164, 273, 253, 5927, 16610, 253, 41290, 266, 281, 952, 1458, 271, 4964, 15, 703, 13, 1056, 2169, 11029, 327, 4730, 253, 35096, 1959, 323, 253, 8485, 5020, 5303, 273, 366, 41290, 507, 13, 8460, 46619, 9353, 13, 253, 7942, 19590, 40640, 3988, 985, 13, 285, 24715, 4017, 253, 13909, 4320, 3570, 273, 19382, 9353, 13, 285, 16618, 3609, 13, 9353, 327, 285, 9260, 5645, 2289, 281, 18261, 13, 13, 3290, 285, 1786, 1557, 342, 4912, 253, 9353, 609, 323, 512, 15, 327, 7563, 15","0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1"
"3271","262, 6689, 31597, 617, 521, 6861, 33222, 1070, 5103, 30854, 3261, 281, 751, 617, 247, 7512, 5310, 13, 533, 326, 434, 849, 1728, 3906, 47852, 15, 703, 2531, 465, 257, 1216, 660, 1519, 1119, 369, 253, 15, 521, 1781, 8516, 8763, 2234, 2927, 15014, 275, 617, 8597, 896, 387, 617, 432, 253, 5406, 31579, 13, 285, 285, 617, 37572, 11233, 247, 572, 7782, 15, 703, 8715, 19211, 626, 15, 2326, 703, 779, 275, 14287, 1107, 15, 253, 344, 369, 16486, 13, 5176, 247, 637, 594, 25507, 8807, 17329, 672, 347, 597, 703, 1871, 806, 1313, 2206, 15, 387, 344, 574, 617, 22007, 8597, 285, 617, 30774, 745, 758, 15, 703, 2335, 617, 562, 253, 11547, 502, 4669, 8201, 15, 4645, 703, 574, 1339, 617, 7496, 1066, 247, 1781, 760, 2378, 533, 1620, 969, 13, 275, 3644, 253, 1390, 3578, 1107, 15, 703, 6566, 419, 1250, 352, 369, 1805, 13, 344, 23639, 4425, 637, 281, 873, 617, 342, 1959, 15, 247, 23535, 344, 1669, 8580, 617, 15, 15","1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0"
"3272","783, 278, 88, 7515, 3629, 783, 6429, 14230, 434, 285, 2329, 11052, 2491, 281, 15507, 6137, 253, 6429, 285, 11407, 247, 1273, 281, 19092, 11480, 465, 6358, 1029, 13, 13, 840, 21266, 294, 3321, 15, 253, 281, 23542, 337, 858, 608, 465, 6358, 1223, 417, 28036, 6983, 253, 1818, 275, 8630, 1854, 2559, 432, 281, 253, 9118, 13, 5512, 15606, 8255, 4669, 278, 253, 6429, 8488, 4972, 3433, 281, 4830, 253, 278, 88, 9654, 4669, 13, 278, 4543, 14252, 253, 11480, 273, 253, 6429, 281, 247, 1029, 11288, 12046, 3433, 1840, 253, 16892, 285, 32103, 281, 285, 305, 5621, 337, 608, 6137, 465, 6358, 15, 432, 2581, 13, 337, 15, 253, 23542, 19, 12351, 281, 964, 326, 253, 6429, 434, 1614, 2281, 574, 22, 6137, 313, 12157, 253, 11480, 369, 417, 12544, 2439, 253, 16892, 387, 253, 305, 1029, 247, 84, 342, 12354, 4869, 10, 285, 11407, 247, 6907, 20008, 273, 4871, 2983, 313, 8500, 440, 2799, 66, 313, 10495, 7356, 10, 10, 273, 281, 2740, 6931, 253, 247, 12354, 285, 755, 253, 11480, 12544, 7938, 1309, 7759, 253, 12351, 987, 1614, 15, 15, 247, 12354, 436, 310, 2250, 253, 310, 5185, 342, 6907, 24364, 247, 1614, 342, 875, 30514, 491, 387, 1029, 271, 247, 12354, 9954, 13, 12916, 434, 2299, 13, 28049, 1599, 10590, 17083, 941, 285, 32894, 278, 88, 285, 6206, 253, 2692, 253, 6429, 275, 247, 11480, 1029, 1617, 285, 642, 3356, 275, 987, 1133, 1614, 15, 4103, 432, 436, 16624, 11288, 5448, 15, 12046, 347, 253, 13, 278, 28049, 88, 27272, 941, 2692, 253, 6429, 253, 3407, 247, 987, 340, 11480, 1403, 1066, 2584, 253, 6429, 272, 11480, 13, 5926, 432, 253, 7251, 7759, 11480, 6429, 1029, 285, 374, 7759, 987, 4310, 281, 434, 7251, 7759, 11480, 1698, 8488, 4972, 285, 1903, 7759, 987, 369, 4310, 327, 15, 347, 278, 253, 6429, 8231, 2708, 253, 278, 88, 88, 434, 39625, 1386, 273, 8184, 1309, 436, 294, 3321, 13, 253, 434, 278, 88, 21153, 253, 6429, 434, 11480, 574, 13207, 9954, 281, 21033, 1066, 342, 285, 281, 2098, 253, 630, 987, 15, 3629, 15","1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0"
"3273","455, 841, 18595, 44295, 403, 13, 891, 323, 12661, 281, 1056, 512, 10873, 15, 4288, 2905, 347, 18934, 4166, 3275, 5459, 13, 347, 12222, 801, 1327, 571, 31985, 917, 323, 21754, 6021, 625, 2891, 6378, 4166, 21443, 3345, 801, 571, 285, 347, 15, 436, 24217, 2572, 13, 1142, 273, 253, 588, 1840, 2486, 7471, 273, 4081, 5323, 778, 46181, 320, 5176, 390, 19595, 13, 15, 533, 7471, 347, 273, 273, 1024, 13, 9411, 285, 39638, 21007, 878, 310, 281, 2572, 24217, 2492, 13, 327, 9411, 15, 4796, 891, 27226, 12661, 13, 281, 3782, 3379, 4796, 18934, 512, 436, 4166, 1395, 42000, 285, 594, 6593, 3066, 49047, 760, 15, 15","1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1"
"3274","783, 66, 4564, 275, 49136, 4951, 13726, 253, 273, 28868, 3971, 6726, 282, 432, 253, 776, 5536, 246, 9411, 285, 15861, 1462, 616, 689, 497, 49856, 11216, 36609, 281, 275, 3468, 285, 616, 30859, 4720, 3523, 281, 1581, 673, 281, 4484, 689, 35130, 434, 15, 6276, 15, 253, 275, 253, 4181, 3416, 387, 253, 5004, 13, 434, 11111, 408, 816, 1078, 4318, 247, 20126, 5248, 6970, 253, 13, 247, 13387, 4830, 617, 7832, 1113, 15, 369, 273, 745, 2282, 13, 604, 344, 369, 6276, 15, 253, 3971, 891, 3735, 779, 275, 11476, 253, 347, 1199, 39081, 15, 15","1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0"
"3275","47510, 21702, 24286, 39730, 598, 253, 327, 83, 368, 1301, 1537, 13, 17227, 253, 1612, 273, 253, 270, 50198, 434, 3948, 971, 285, 16116, 28089, 2620, 281, 15813, 6574, 591, 4964, 973, 1078, 11734, 253, 987, 18209, 273, 715, 17657, 1458, 15, 305, 552, 247, 18110, 1242, 27973, 45170, 521, 480, 7319, 303, 47349, 1078, 1580, 5909, 253, 7351, 15, 327, 253, 36167, 13, 368, 305, 15082, 331, 832, 6451, 369, 15571, 752, 703, 476, 651, 513, 604, 703, 369, 247, 6793, 3226, 13, 626, 534, 1900, 28860, 278, 2804, 7296, 703, 369, 13, 6604, 441, 275, 958, 13, 275, 247, 247, 6793, 3226, 10562, 15, 305, 552, 7320, 562, 581, 13, 344, 273, 5125, 253, 767, 2800, 30171, 273, 5524, 664, 9141, 10086, 8290, 275, 253, 7351, 285, 4541, 30548, 745, 767, 31883, 15, 1293, 2819, 13, 896, 13, 1078, 344, 6240, 4925, 3212, 521, 1481, 285, 13, 12591, 5907, 731, 281, 253, 896, 7319, 15, 463, 597, 497, 13, 5176, 432, 521, 3564, 18319, 15, 344, 2139, 1691, 581, 1053, 625, 275, 626, 253, 5500, 17051, 1735, 281, 521, 368, 7319, 46671, 285, 598, 4895, 253, 253, 5780, 2716, 273, 253, 2800, 3584, 281, 253, 7351, 15, 672, 8364, 521, 1133, 294, 13082, 285, 13, 352, 369, 5877, 247, 359, 3584, 273, 25812, 4882, 476, 8364, 13, 534, 344, 1265, 247, 671, 2165, 273, 1029, 14048, 281, 687, 1063, 16, 275, 253, 676, 13, 896, 7319, 2502, 15, 1735, 344, 16, 7320, 562, 581, 273, 253, 1740, 27973, 480, 14381, 275, 11958, 253, 7351, 285, 14048, 352, 281, 247, 1591, 15","0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0"
"3276","26512, 891, 75, 28435, 31311, 3703, 13, 7320, 327, 42390, 25308, 253, 6016, 466, 13, 33396, 665, 5420, 625, 347, 39843, 19961, 347, 4130, 2010, 13, 37871, 253, 387, 13696, 253, 1612, 2761, 273, 39876, 13, 8479, 35825, 521, 18750, 13, 390, 293, 5046, 281, 331, 352, 369, 253, 8184, 273, 1524, 19493, 745, 15, 347, 2614, 344, 15, 47414, 271, 2057, 1039, 13, 891, 24922, 28112, 574, 13, 281, 513, 1633, 25308, 466, 13, 12293, 3579, 285, 533, 479, 11226, 247, 987, 16116, 2831, 715, 35825, 293, 434, 2454, 25308, 466, 15, 651, 521, 320, 751, 247, 22790, 327, 17543, 247, 34994, 15, 35825, 293, 16470, 521, 2454, 359, 284, 293, 13, 16280, 13, 344, 285, 2614, 1335, 3896, 4580, 574, 264, 326, 562, 8393, 7356, 875, 521, 254, 9881, 13, 10985, 521, 275, 3564, 5435, 521, 896, 1665, 11320, 15, 2502, 891, 3058, 247, 15, 10485, 15","1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1"
"3277","1200, 1170, 521, 38250, 11822, 779, 13, 891, 1481, 13, 344, 10184, 2994, 745, 4925, 253, 896, 3722, 323, 285, 253, 48134, 3369, 6016, 285, 521, 3531, 13155, 13898, 352, 432, 15, 1475, 352, 434, 521, 4030, 7623, 13, 278, 15, 49488, 2682, 253, 13, 23048, 891, 4830, 4541, 787, 253, 34489, 357, 3026, 13, 13, 344, 3407, 35500, 253, 43116, 4871, 273, 272, 253, 247, 2316, 15, 2717, 8580, 327, 556, 619, 2454, 644, 15, 359, 1469, 327, 1053, 13, 344, 626, 288, 878, 25776, 281, 15, 359, 2319, 352, 667, 23651, 625, 13, 533, 352, 15, 368, 1620, 1849, 2427, 667, 2007, 1160, 634, 685, 3061, 13, 987, 368, 326, 15, 971, 562","0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1"
"3278","783, 74, 1849, 1669, 7654, 7997, 1501, 342, 352, 3877, 619, 16099, 281, 1239, 755, 436, 3877, 281, 368, 943, 13, 436, 891, 4857, 1509, 1977, 15, 253, 958, 326, 368, 403, 369, 48325, 4361, 281, 253, 436, 2097, 326, 891, 8614, 452, 1669, 15, 436, 2173, 1533, 285, 7997, 3053, 619, 9455, 281, 326, 1805, 1659, 15, 891, 1353, 497, 1669, 43287, 326, 891, 858, 417, 755, 247, 4839, 281, 2525, 619, 9461, 281, 15, 891, 3078, 281, 2028, 3379, 285, 617, 7257, 849, 1199, 891, 7636, 617, 15, 891, 1353, 1077, 436, 5211, 281, 281, 2985, 16172, 452, 527, 1313, 368, 270, 678, 1079, 15, 672, 703, 891, 12255, 1353, 9979, 273, 275, 634, 9386, 42548, 281, 1361, 479, 12709, 436, 3935, 15, 273, 21909, 281, 9461, 15, 891, 1158, 891, 871, 368, 627, 270, 678, 15, 891, 871, 368, 588, 1089, 9461, 285, 7257, 619, 4857, 369, 281, 617, 15, 891, 3524, 368, 247, 11118, 1089, 752, 368, 403, 13, 2819, 323, 275, 1495, 285, 891, 1353, 533, 2119, 368, 588, 15, 359, 574, 247, 2969, 2954, 12401, 13, 285, 253, 323, 368, 281, 1691, 4028, 634, 13, 1495, 327, 2186, 352, 369, 13, 2834, 281, 281, 513, 436, 323, 479, 310, 271, 35021, 404, 494, 28065, 15, 891, 3260, 891, 1904, 626, 452, 1199, 673, 1239, 1669, 15, 285, 270, 326, 678, 5176, 253, 619, 1786, 8862, 369, 11741, 31714, 15, 891, 4517, 253, 8614, 310, 10599, 285, 285, 7660, 326, 7699, 5173, 1173, 352, 310, 2819, 846, 368, 281, 15, 891, 452, 1929, 7699, 253, 3236, 5173, 1173, 1580, 344, 369, 247, 17329, 1652, 15, 5006, 703, 15, 344, 434, 247, 1175, 7765, 285, 42273, 588, 4035, 281, 1361, 253, 4857, 368, 285, 15, 1175, 7516, 285, 778, 17991, 305, 3053, 6597, 281, 3227, 1239, 5386, 15, 253, 512, 24238, 323, 368, 327, 634, 4857, 3186, 6221, 15, 247, 891, 588, 320, 45927, 323, 2567, 1416, 534, 368, 275, 5913, 1659, 1239, 891, 13, 1089, 4266, 13, 533, 891, 40110, 13, 1833, 320, 8109, 368, 15, 270, 502, 678, 13, 552, 891, 2550, 285, 5717, 368, 2217, 15, 891, 269, 452, 26895, 1529, 4857, 323, 368, 15, 47617, 479, 15, 436, 2682, 4857, 310, 323, 2534, 4448, 368, 281, 1527, 27904, 1336, 13, 2378, 368, 285, 1849, 1119, 9461, 37391, 285, 8549, 641, 253, 4857, 15, 15","0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0"
